pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
pool_2,7,2022 08 21,na_na_na_na,0_0_na,399,12 34 00,13 34 00,3,sacarosa,sacarosa,1,1,364,109,0,0,30,14,1,1
pool_2,7,2022 08 21,na_na_na_na,0_0_na,400,12 34 00,13 34 00,4,sacarosa,sacarosa,1,1,165,101,0,0,25,16,0.5,1
pool_2,8,2022 08 22,na_na_na_na,0_0_na,393,11 18 00,12 19 00,1,sacarosa,sacarosa,1,1,34,231,0,0,5,33,0,1
pool_2,8,2022 08 22,na_na_na_na,0_0_na,394,11 18 00,12 19 00,2,sacarosa,sacarosa,1,1,755,269,0,0,34,20,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,395,11 19 00,12 20 00,3,sacarosa,sacarosa,1,1,140,128,0,0,22,19,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,396,11 19 00,12 20 00,4,sacarosa,sacarosa,1,1,366,94,0,0,32,10,1,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,397,12 38 00,13 38 00,1,sacarosa,sacarosa,1,1,170,577,0,0,16,45,0.5,1
pool_2,8,2022 08 22,na_na_na_na,0_0_na,398,12 38 00,13 38 00,2,sacarosa,sacarosa,1,1,222,86,0,0,24,9,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,399,12 38 00,13 38 00,3,sacarosa,sacarosa,1,1,525,109,0,0,28,14,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,400,12 38 00,13 38 00,4,sacarosa,sacarosa,1,1,194,109,0,0,21,15,0,0.5
pool_2,9,2022 08 23,na_na_na_na,0_0_na,393,11 11 00,12 11 00,1,sacarosa,sacarosa,1,1,126,276,0,0,17,39,0.5,1
pool_2,9,2022 08 23,na_na_na_na,0_0_na,394,11 11 00,12 11 00,2,sacarosa,sacarosa,1,1,1010,218,0,0,42,20,1,0.5
pool_2,9,2022 08 23,na_na_na_na,0_0_na,395,11 11 00,12 11 00,3,sacarosa,sacarosa,1,1,173,68,0,0,27,13,0.5,0
pool_2,9,2022 08 23,na_na_na_na,0_0_na,396,11 11 00,12 11 00,4,sacarosa,sacarosa,2,1,393,213,0,0,36,11,1,0
pool_2,9,2022 08 23,na_na_na_na,0_0_na,397,12 34 00,13 34 00,1,sacarosa,sacarosa,1,1,124,549,0,0,19,39,0.5,1
pool_2,9,2022 08 23,na_na_na_na,0_0_na,398,12 34 00,13 34 00,2,sacarosa,sacarosa,1,1,396,42,0,0,21,6,0.5,0
pool_2,9,2022 08 23,na_na_na_na,0_0_na,399,12 34 00,13 34 00,3,sacarosa,sacarosa,1,1,472,48,0,0,30,6,0.5,0.5
pool_2,9,2022 08 23,na_na_na_na,0_0_na,400,12 34 00,13 34 00,4,sacarosa,sacarosa,1,1,234,67,0,0,29,9,0.5,0.5
pool_2,10,2022 08 24,na_na_na_na,0_0_na,393,11 16 00,12 16 00,1,sacarosa,sacarosa,1,1,175,281,0,0,19,34,0,1
pool_2,10,2022 08 24,na_na_na_na,0_0_na,394,11 16 00,12 16 00,2,sacarosa,sacarosa,1,1,522,372,0,0,38,22,1,0.5
pool_2,10,2022 08 24,na_na_na_na,0_0_na,395,11 16 00,12 16 00,3,sacarosa,sacarosa,1,1,219,315,0,0,26,22,0.5,0.5
pool_2,10,2022 08 24,na_na_na_na,0_0_na,396,11 16 00,12 16 00,4,sacarosa,sacarosa,1,1,475,143,0,0,39,12,1,0
pool_2,10,2022 08 24,na_na_na_na,0_0_na,397,12 34 00,13 34 00,1,sacarosa,sacarosa,1,1,181,289,0,0,20,34,1,1
pool_2,10,2022 08 24,na_na_na_na,0_0_na,398,12 34 00,13 34 00,2,sacarosa,sacarosa,1,1,556,39,0,0,20,5,1,0
pool_2,10,2022 08 24,na_na_na_na,0_0_na,399,12 34 00,13 34 00,3,sacarosa,sacarosa,1,1,366,24,0,0,25,4,0.5,0
pool_2,10,2022 08 24,na_na_na_na,0_0_na,400,12 34 00,13 34 00,4,sacarosa,sacarosa,1,1,130,181,0,0,17,15,0,0.5
