ID,date,weight,group,experimental_phase,rel_date
497,2023-04-10,21.51,Uncertainty,Experimental,27
498,2023-04-10,23.81,No-Uncertainty,Experimental,27
499,2023-04-10,23.22,No-Uncertainty,Experimental,27
500,2023-04-10,24.81,Uncertainty,Experimental,27
501,2023-04-10,26.4,No-Uncertainty,Experimental,27
494,2023-04-12,27.91,No-Uncertainty,Experimental,29
495,2023-04-12,26.54,Uncertainty,Experimental,29
496,2023-04-12,21.41,Uncertainty,Experimental,29
497,2023-04-12,21.74,Uncertainty,Experimental,29
498,2023-04-12,23.59,No-Uncertainty,Experimental,29
499,2023-04-12,23.56,No-Uncertainty,Experimental,29
500,2023-04-12,24.86,Uncertainty,Experimental,29
501,2023-04-12,26.8,No-Uncertainty,Experimental,29
494,2023-04-14,27,No-Uncertainty,Experimental,31
495,2023-04-14,25.72,Uncertainty,Experimental,31
496,2023-04-14,21.96,Uncertainty,Experimental,31
497,2023-04-14,20.73,Uncertainty,Experimental,31
498,2023-04-14,24.26,No-Uncertainty,Experimental,31
499,2023-04-14,24.87,No-Uncertainty,Experimental,31
500,2023-04-14,24.89,Uncertainty,Experimental,31
501,2023-04-14,26.15,No-Uncertainty,Experimental,31
494,2023-04-17,27.75,No-Uncertainty,Experimental,34
495,2023-04-17,25.6,Uncertainty,Experimental,34
496,2023-04-17,21.85,Uncertainty,Experimental,34
497,2023-04-17,21.19,Uncertainty,Experimental,34
498,2023-04-17,24.35,No-Uncertainty,Experimental,34
499,2023-04-17,23.89,No-Uncertainty,Experimental,34
500,2023-04-17,24.82,Uncertainty,Experimental,34
501,2023-04-17,24.34,No-Uncertainty,Experimental,34
501,2023-04-18,26.12,No-Uncertainty,Experimental,35
494,2023-04-19,26.84,No-Uncertainty,Experimental,36
495,2023-04-19,24.76,Uncertainty,Experimental,36
496,2023-04-19,21.31,Uncertainty,Experimental,36
497,2023-04-19,21.51,Uncertainty,Experimental,36
498,2023-04-19,23.87,No-Uncertainty,Experimental,36
499,2023-04-19,23.9,No-Uncertainty,Experimental,36
500,2023-04-19,24.06,Uncertainty,Experimental,36
501,2023-04-19,23.86,No-Uncertainty,Experimental,36
494,2023-04-21,27.8,No-Uncertainty,Experimental,38
495,2023-04-21,27.65,Uncertainty,Experimental,38
496,2023-04-21,21.29,Uncertainty,Experimental,38
497,2023-04-21,21.85,Uncertainty,Experimental,38
498,2023-04-21,25,No-Uncertainty,Experimental,38
499,2023-04-21,23.62,No-Uncertainty,Experimental,38
500,2023-04-21,23.67,Uncertainty,Experimental,38
501,2023-04-21,26.6,No-Uncertainty,Experimental,38
494,2023-04-24,26.95,No-Uncertainty,Experimental,41
495,2023-04-24,26.29,Uncertainty,Experimental,41
496,2023-04-24,22.06,Uncertainty,Experimental,41
497,2023-04-24,21.48,Uncertainty,Experimental,41
498,2023-04-24,24.9,No-Uncertainty,Experimental,41
499,2023-04-24,24.46,No-Uncertainty,Experimental,41
500,2023-04-24,23.89,Uncertainty,Experimental,41
501,2023-04-24,22.62,No-Uncertainty,Experimental,41
494,2023-04-26,27.11,No-Uncertainty,Experimental,43
495,2023-04-26,25.5,Uncertainty,Experimental,43
496,2023-04-26,22.4,Uncertainty,Experimental,43
497,2023-04-26,22.14,Uncertainty,Experimental,43
498,2023-04-26,25.6,No-Uncertainty,Experimental,43
499,2023-04-26,24.57,No-Uncertainty,Experimental,43
500,2023-04-26,24.44,Uncertainty,Experimental,43
501,2023-04-26,26.03,No-Uncertainty,Experimental,43
494,2023-04-28,27.24,No-Uncertainty,Experimental,45
495,2023-04-28,26.3,Uncertainty,Experimental,45
496,2023-04-28,21.25,Uncertainty,Experimental,45
497,2023-04-28,22.25,Uncertainty,Experimental,45
498,2023-04-28,25.3,No-Uncertainty,Experimental,45
499,2023-04-28,24.6,No-Uncertainty,Experimental,45
500,2023-04-28,25.72,Uncertainty,Experimental,45
501,2023-04-28,27.02,No-Uncertainty,Experimental,45
494,2023-05-01,27.5,No-Uncertainty,Experimental,48
495,2023-05-01,26.33,Uncertainty,Experimental,48
496,2023-05-01,21.3,Uncertainty,Experimental,48
497,2023-05-01,22.1,Uncertainty,Experimental,48
498,2023-05-01,25.33,No-Uncertainty,Experimental,48
499,2023-05-01,25,No-Uncertainty,Experimental,48
500,2023-05-01,25.2,Uncertainty,Experimental,48
501,2023-05-01,28.01,No-Uncertainty,Experimental,48
494,2023-05-03,27.7,No-Uncertainty,Experimental,50
495,2023-05-03,26.4,Uncertainty,Experimental,50
496,2023-05-03,21.44,Uncertainty,Experimental,50
497,2023-05-03,22,Uncertainty,Experimental,50
498,2023-05-03,25.66,No-Uncertainty,Experimental,50
499,2023-05-03,25.23,No-Uncertainty,Experimental,50
500,2023-05-03,25.12,Uncertainty,Experimental,50
501,2023-05-03,23.88,No-Uncertainty,Experimental,50
494,2023-05-08,28.6,No-Uncertainty,Experimental,55
495,2023-05-08,22.64,Uncertainty,Experimental,55
496,2023-05-08,22.41,Uncertainty,Experimental,55
497,2023-05-08,22.05,Uncertainty,Experimental,55
498,2023-05-08,26.4,No-Uncertainty,Experimental,55
499,2023-05-08,25.49,No-Uncertainty,Experimental,55
500,2023-05-08,26.01,Uncertainty,Experimental,55
501,2023-05-08,29.77,No-Uncertainty,Experimental,55
494,2023-05-10,28.4,No-Uncertainty,Experimental,57
